Project: DS_TTA_Monitor.hml
ECU: HANcoder_E407_TTA_Controller_v3_softwareID_v1_260122_144803
DAQ List D1: Default, 10Hz
Date: Wed Jan 26 14:57:35 CET 2022

;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;XCP;
Time;BC0_sync_processed_ing_s;BC0_sync_processed_s;BC0_sync_processed_vem__s;BC0_vote1_processed_s;BC0_vote2_processed_s;BC0_vote3_processed_s;BC1_sync_processed_ing_s;BC1_sync_processed_s;BC1_sync_processed_vem__s;Board_1_error_counter_s;Board_2_error_counter_s;Board_3_error_counter_s;Board_ID_s;Desync_Sync_bc0_ing_s;Desync_Sync_bc0_s;Desync_Sync_bc0_vem_s;Desync_Sync_bc1_ing_s;Desync_Sync_bc1_s;Desync_Sync_bc1_vem_s;LedValue;Master_ID_ing_s;Master_ID_s;Master_ID_vem_s;Role_ID_ing_s;Role_ID_s;Role_ID_vem_s;RxCAN1_counter_s;RxCAN2_counter_s;RxID_CAN1_s;RxID_CAN2_s;Rx_init_LT;Rx_init_bc;Rx_init_id;Rx_init_mc;Rx_msg_ticks_CAN1;Rx_msg_ticks_CAN2;Rx_temporal_msg_CAN1;Rx_temporal_msg_CAN2;SI_CPUload;SI_FreeHeap;SI_FreeStack;TM1_timeout_counter_s;TM2_timeout_counter_s;TM3_timeout_counter_s;TMR_miss1_sensor;TMR_miss1_set;TMR_miss2_sensor;TMR_miss2_set;TMR_miss_out1;TMR_miss_out2;TMR_miss_sensor;TMR_miss_set;TxCAN1_counter_s;TxCAN2_counter_s;TxID_CAN1_s;TxID_CAN2_s;Tx_temporal_msg_CAN1;Tx_temporal_msg_CAN2;Vote_s;bacic_cycle_s;error_log1_s;error_log2_s;error_log3_s;local_ticks_interrupt;mc_counter_s;msg_count_DEBUG_ing_s;msg_count_DEBUG_s;msg_count_DEBUG_vem_s;new_sensor_rx_s;new_sensor_rx_vem_s;new_set_rx_s;out1_miss_counter_s;out1_rx_s;out2_miss_counter_s;out2_rx_s;outcont_miss_counter_vem;reset_ing_s;reset_s;reset_vem_s;rx_data_incr_time_s;script_run_s;sensor_miss_counter_s;set_miss_counter_s;simulation_time;sync_bc0_miss_counter_ing;sync_bc0_miss_counter_s;sync_bc0_miss_counter_vem;sync_bc1_miss_counter_ing;sync_bc1_miss_counter_s;sync_bc1_miss_counter_vem;tau_al1_disagree_s;tau_al2_disagree_s;tau_al_disagree_s;tau_ar1_disagree_s;tau_ar2_disagree_s;tau_ar_disagree_s;tau_fl1_disagree_s;tau_fl2_disagree_s;tau_fl_disagree_s;tau_fr1_disagree_s;tau_fr2_disagree_s;tau_fr_disagree_s;theta_al_s;theta_al_stored_s;theta_ar_s;theta_ar_stored_s;theta_fl_s;theta_fl_stored_s;theta_fr_s;theta_fr_stored_s;torque_al_out1_s;torque_al_out2_s;torque_al_set_out_s;torque_al_set_s;torque_ar_out1_s;torque_ar_out2_s;torque_ar_set_out_s;torque_ar_set_s;torque_fl_out1_s;torque_fl_out2_s;torque_fl_set_out_s;torque_fl_set_s;torque_fr_out1_s;torque_fr_out2_s;torque_fr_set_out_s;torque_fr_set_s;v_ctreff_s;v_est_s;v_est_vem_s;v_integral_s;v_set_s;votes_Board_1_DEBUG;votes_Board_2_DEBUG;votes_Board_3_DEBUG;
0,00000;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25776;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05000000074505806;0;0;0;187,5500030517578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0,10781;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25776;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05000000074505806;0;0;0;187,64999389648438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0,21155;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25776;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05000000074505806;0;0;0;187,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0,29925;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25776;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05000000074505806;0;0;0;187,84999084472656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0,40158;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25776;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05000000074505806;0;0;0;187,9499969482422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0,59361;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25776;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05000000074505806;0;0;0;188,0500030517578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0,60675;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25776;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05000000074505806;0;0;0;188,14999389648438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0,69760;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25776;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05000000074505806;0;0;0;188,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0,89262;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25776;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05000000074505806;0;0;0;188,34999084472656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
