Time [s],Channel 0,Channel 1,Channel 2,Channel 3
4.829719417,1,0,1,1
4.830291208,1,0,0,1
4.830317625,1,1,0,1
4.830333833,1,1,0,0
4.850918833,0,1,0,0
4.851548958,0,1,0,1
4.851603833,0,1,1,1
4.851629208,0,0,1,1
4.879719542,1,0,1,1
4.880406500,1,0,0,1
4.880434667,1,1,0,1
4.880454000,1,1,0,0
4.900918875,0,1,0,0
4.901512542,0,1,1,0
4.901535292,0,0,1,0
4.901562125,0,0,1,1
4.929720958,1,0,1,1
4.930467458,1,0,1,0
4.930515208,1,0,0,0
4.930540708,1,1,0,0
4.950918958,0,1,0,0
4.951521417,0,1,1,0
4.951541542,0,0,1,0
4.951575750,0,0,1,1
4.979719625,1,0,1,1
4.980381042,1,0,1,0
4.980424208,1,0,0,0
4.980447125,1,1,0,0
5.000919042,0,1,0,0
5.001489042,0,1,0,1
5.001531167,0,1,1,1
5.001547750,0,0,1,1
5.029719750,1,0,1,1
5.030353458,1,1,1,1
5.030394500,1,1,1,0
5.030433083,1,1,0,0
5.050919125,0,1,0,0
5.051554000,0,0,0,0
5.051602500,0,0,0,1
5.051639333,0,0,1,1
5.079719875,1,0,1,1
5.080407958,1,0,1,0
5.080441917,1,0,0,0
5.080459667,1,1,0,0
5.100919208,0,1,0,0
5.101516208,0,1,0,1
5.101548000,0,1,1,1
5.101560250,0,0,1,1
5.129720042,1,0,1,1
5.130321250,1,0,1,0
5.130350625,1,0,0,0
5.130365667,1,1,0,0
5.150919250,0,1,0,0
5.151559167,0,1,1,0
5.151566458,0,0,1,0
5.151629208,0,0,1,1
5.179720000,1,0,1,1
5.180359500,1,0,0,1
5.180371917,1,1,0,1
5.180434875,1,1,0,0
5.200919333,0,1,0,0
5.201465917,0,1,1,0
5.201473708,0,0,1,0
5.201542833,0,0,1,1
5.229720083,1,0,1,1
5.230348167,1,0,1,0
5.230368375,1,0,0,0
5.230378167,1,1,0,0
5.250919458,0,1,0,0
5.251556375,0,1,0,1
5.251574625,0,1,1,1
5.251578958,0,0,1,1
5.279720167,1,0,1,1
5.280284875,1,1,1,1
5.280361625,1,1,1,0
5.280377208,1,1,0,0
5.300919500,0,1,0,0
5.301569833,0,1,0,1
5.301583625,0,1,1,1
5.301585167,0,0,1,1
5.329720167,1,0,1,1
5.330386083,1,0,0,1
5.330391458,1,1,0,1
5.330475250,1,1,0,0
5.350919625,0,1,0,0
5.351493292,0,1,1,0
5.351583250,0,1,1,1
5.351591417,0,0,1,1
5.379720375,1,0,1,1
5.380388542,1,0,1,0
5.380394958,1,0,0,0
5.380397042,1,1,0,0
5.400919667,0,1,0,0
5.401496917,0,1,0,1
5.401497792,0,0,0,1
5.401501083,0,0,1,1
5.429720417,1,0,1,1
5.430302125,1,0,1,0
5.430303333,1,1,1,0
5.430303958,1,1,0,0
5.450919750,0,1,0,0
5.451603917,0,0,0,0
5.451609833,0,0,1,0
5.451609958,0,0,1,1
5.479720458,1,0,1,1
5.480309458,1,1,1,1
5.480312792,1,1,0,1
5.480315583,1,1,0,0
