Time [s],Channel 2
5.158185792,1
5.158262750,0
5.158366708,1
5.158485042,0
5.158560292,1
5.158658375,0
5.158760250,1
5.158858417,0
5.158960250,1
5.159058458,0
5.159160292,1
5.159258458,0
5.159360500,1
5.159458542,0
5.159561167,1
5.159658583,0
5.159760417,1
5.159858583,0
5.159960333,1
5.160058625,0
5.160160417,1
5.160258667,0
5.160360500,1
5.160458708,0
5.160560500,1
5.160658708,0
5.160760542,1
5.160858792,0
5.160960625,1
5.161058792,0
5.161160583,1
5.161258833,0
5.161360667,1
5.161458875,0
5.161560667,1
5.161659583,0
5.161761458,1
5.161859625,0
5.161961458,1
5.162060292,0
5.162162167,1
5.162260375,0
5.162362250,1
5.162461958,0
5.162563833,1
5.162661917,0
5.162763750,1
5.162861125,0
5.162963125,1
5.163061250,0
5.163163125,1
5.163261250,0
5.163363208,1
5.163461292,0
5.163563583,1
5.163661333,0
5.163763208,1
5.163861375,0
5.163970333,1
5.164061417,0
5.164164083,1
5.164261458,0
5.164363375,1
5.164461458,0
5.164563417,1
5.164661542,0
5.164763458,1
5.164861542,0
5.164963458,1
5.165061625,0
5.165163500,1
5.165261625,0
5.165363542,1
5.165469625,0
5.165563625,1
5.165663833,0
5.165763625,1
5.165861708,0
5.165963667,1
5.166061750,0
5.166163583,1
5.166261792,0
5.166363625,1
5.166363667,0
5.166363708,1
5.166462417,0
5.166563792,1
5.166661875,0
5.166763792,1
5.166861875,0
5.166963667,1
5.167061917,0
5.167163708,1
5.167261958,0
5.167363750,1
5.167462000,0
5.167563750,1
5.167662042,0
5.167763958,1
5.167862083,0
5.167964000,1
5.168062083,0
5.168164042,1
5.168262125,0
5.168364083,1
5.168462167,0
5.168564167,1
5.168662208,0
5.168764083,1
5.168862250,0
5.168964125,1
5.169062292,0
5.169164208,1
5.169262292,0
5.169364250,1
5.169462333,0
5.169564292,1
5.169662375,0
5.169764333,1
5.169862417,0
5.169964292,1
5.170062458,0
5.170164375,1
5.170262500,0
5.170364417,1
5.170462542,0
5.170564458,1
5.170662542,0
5.170764500,1
5.170862625,0
5.170964542,1
5.171062625,0
5.171164583,1
5.171262667,0
5.171364583,1
5.171462708,0
5.171564625,1
5.171662750,0
5.171764667,1
5.171862750,0
5.171964708,1
5.172062792,0
5.172164708,1
5.172262833,0
5.172364750,1
5.172462875,0
5.172564833,1
5.172662917,0
5.172764833,1
5.172862958,0
5.172964875,1
5.173063000,0
5.173164833,1
5.173263000,0
5.173365000,1
5.173463042,0
5.173565042,1
5.173663083,0
5.173765042,1
5.173863125,0
5.173965042,1
5.174063167,0
5.174165042,1
5.174268125,0
5.174365125,1
5.174463208,0
5.174565167,1
5.174663250,0
5.174767500,1
5.174863333,0
5.174965208,1
5.175063333,0
5.175165292,1
5.175267875,0
5.175365292,1
5.175463417,0
5.175565333,1
5.175663417,0
5.175765375,1
5.175863458,0
5.175965417,1
5.176063500,0
5.176165417,1
5.176263583,0
5.176365458,1
5.176463583,0
5.176565542,1
5.176663625,0
5.176765542,1
5.176863667,0
5.176965542,1
5.177063667,0
5.177165625,1
5.177263708,0
5.177365667,1
5.177463875,0
5.177565667,1
5.177663792,0
5.177765708,1
5.177863833,0
5.177965708,1
5.178065042,0
5.178166417,1
5.178264583,0
5.178366500,1
5.178464542,0
5.178566542,1
5.178664625,0
5.178766542,1
5.178865792,0
5.178976833,1
5.179074292,0
5.179176250,1
5.179274417,0
5.179376708,1
5.179474292,0
5.179576792,1
5.179675792,0
5.179771583,1
5.179871417,0
5.179967083,1
5.180065333,0
5.180167458,1
5.180265375,0
5.180367208,1
5.180465375,0
5.180567250,1
5.180665458,0
5.180767292,1
5.180865458,0
5.180967333,1
5.181065500,0
5.181167375,1
5.181265542,0
5.181367292,1
5.181367333,0
5.181367375,1
5.181465583,0
5.181567458,1
5.181666167,0
5.181767458,1
5.181865625,0
5.181967500,1
5.182068042,0
5.182167417,1
5.182265750,0
5.182367583,1
5.182465750,0
5.182567583,1
5.182665792,0
5.182767625,1
5.182873542,0
5.182966667,1
5.183064625,0
5.183166458,1
5.183267250,0
5.183366667,1
5.183464958,0
5.183566875,1
5.183684083,0
5.183800167,1
5.183898250,0
5.184000167,1
5.184097208,0
5.184205458,1
5.184300042,0
5.184401542,1
5.184505708,0
5.184602292,1
5.184706500,0
5.184808542,1
5.184902000,0
5.185003792,1
5.185100625,0
5.185207333,1
5.185307042,0
5.185404792,1
5.185502542,0
5.185602917,1
5.185706875,0
5.185804292,1
5.185902500,0
5.186002958,1
5.186105917,0
5.186208083,1
5.186302667,0
5.186406250,1
5.186502583,0
5.186602792,1
5.186707083,0
5.186802792,1
5.186906958,0
5.187005708,1
5.187101083,0
5.187211208,1
5.187285125,0
5.187388000,1
5.187485208,0
5.187585708,1
5.187667708,0
